# New HSK word list (January 2012) V1.0
# Level 1 to 6 -- 5000 words
# Source : http://cedric.hartland.free.fr
# hsk source list from http://www.davidpetersson.com
# Translations from CEDICT Dictionary (see http://www.mdbg.net)
# Distributed under Creative Commons BY-NC licence
#Level	Identifier	Hanzi	PinYin	Translations
2	267	休息	xiū xi	rest, to rest,
2	268	雪	xuě	snow, snowfall, CL:場|场[cháng], to have the appearance of snow, to wipe away, off or out, to clean,
2	269	颜色	yán sè	color, CL:個|个[gè],
2	270	眼睛	yǎn jing	eye, CL:隻|只,雙|双[shuāng],
2	271	羊肉	yáng ròu	mutton,
2	272	药	yào	medicine, drug, cure, CL:種|种,服[fù],
2	273	要	yào	important, vital, to want, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably,
2	274	也	yě	also, too, (in Classical Chinese) final particle implying affirmation,
2	275	已经	yǐ jīng	already,
2	276	一起	yī qǐ	in the same place, together, with, altogether (in total),
2	277	意思	yì si	idea, opinion, meaning, wish, desire, CL:個|个[gè],
2	278	阴	yīn	overcast (weather), cloudy, shady, Yin (the negative principle of Yin and Yang), negative (electric.), feminine, moon, implicit, hidden, genitalia,
2	279	因为	yīn wèi	because, owing to, on account of,
2	280	游泳	yóu yǒng	swimming, to swim,
2	281	右边	yòu bian	right side, right, to the right,
2	282	鱼	yú	fish, CL:條|条,尾[wěi],
2	283	元	yuán	Chinese monetary unit, dollar, primary, first,
2	284	远	yuǎn	far, distant, remote,
2	285	运动	yùn dòng	to move, to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chǎng],
2	286	再	zài	again, once more, re-, second, another, then (after sth, and not until then),
2	287	早上	zǎo shang	early morning, CL:個|个[gè],
2	288	张	zhāng	to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes,
2	289	长	zhǎng	chief, head, elder, to grow, to develop, to increase, to enhance,
2	290	丈夫	zhàng fu	husband, CL:個|个[gè],
2	291	找	zhǎo	to try to find, to look for, to call on sb, to find, to seek, to return, to give change,
2	292	着	zhe	aspect particle indicating action in progress,
2	293	真	zhēn	really, truly, indeed, real, true, genuine,
2	294	正在	zhèng zài	in the process of (doing something or happening), while (doing),
2	295	知道	zhī dào	to know, to be aware of, also pron. [zhī dao],
2	296	准备	zhǔn bèi	preparation, to prepare, to intend, to be about to, reserve (fund),
2	297	自行车	zì xíng chē	bicycle, bike, CL:輛|辆[liàng],
2	298	走	zǒu	to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走), to change (shape, form, meaning),
2	299	最	zuì	most, the most, -est (superlative suffix),
2	300	左边	zuǒ bian	left, the left side, to the left of,
3	301	阿姨	ā yí	maternal aunt, step-mother, childcare worker, nursemaid, woman of similar age to one's parents (term of address used by child), CL:個|个[gè],
3	302	啊	a	modal particle ending sentence, showing affirmation, approval, or consent,
3	303	矮	ǎi	low, short (in length),
3	304	爱好	ài hào	to like, to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[gè],
3	305	安静	ān jìng	quiet, peaceful, calm,
3	306	把	bǎ	to hold, to contain, to grasp, to take hold of, handle, particle marking the following noun as a direct object, classifier for objects with handle, classifier for small objects: handful,
3	307	搬	bān	to move, to shift, to remove, to transport, to apply indiscriminately, to copy mechanically,
3	308	班	bān	team, class, squad, work shift, ranking, CL:個|个[gè], classifier for groups,
3	309	半	bàn	half, semi-, incomplete, (after a number) and a half,
3	310	办法	bàn fǎ	means, method, way (of doing sth), CL:條|条,個|个[gè],
3	311	办公室	bàn gōng shì	office, business premises, bureau, CL:間|间[jiān],
3	312	帮忙	bāng máng	to help, to lend a hand, to do a favor, to do a good turn,
